"product_category_name","total_revenue","cumulative_percent","abc_class"
"beleza_saude",1412089.5299999977,"9.16","A (High impact)"
"relogios_presentes",1264333.1200000043,"17.36","A (High impact)"
"cama_mesa_banho",1225209.2600000054,"25.30","A (High impact)"
"esporte_lazer",1118256.910000002,"32.55","A (High impact)"
"informatica_acessorios",1032723.7700000023,"39.25","A (High impact)"
"moveis_decoracao",880329.9200000032,"44.96","A (High impact)"
"utilidades_domesticas",758392.2500000016,"49.88","A (High impact)"
"cool_stuff",691680.8900000019,"54.37","A (High impact)"
"automotivo",669454.7500000023,"58.71","A (High impact)"
"ferramentas_jardim",567145.6800000012,"62.38","A (High impact)"
"brinquedos",547061.0599999983,"65.93","A (High impact)"
"bebes",466727.6500000004,"68.96","A (High impact)"
"perfumaria",443171.63,"71.83","A (High impact)"
"telefonia",379202.6199999981,"74.29","A (High impact)"
"moveis_escritorio",335211.3600000001,"76.47","A (High impact)"
"papelaria",269575.05000000016,"78.21","A (High impact)"
"pet_shop",250614.20000000036,"79.84","A (High impact)"
"pcs",228349.76,"81.32","B (Medium impact)"
"instrumentos_musicais",202187.1200000001,"82.63","B (Medium impact)"
"eletronicos",200723.0899999999,"83.93","B (Medium impact)"
"eletroportateis",198108.47,"85.22","B (Medium impact)"
"",197695.6900000003,"86.50","B (Medium impact)"
"fashion_bolsas_e_acessorios",179888.28999999972,"87.67","B (Medium impact)"
"malas_acessorios",168778.11999999997,"88.76","B (Medium impact)"
"consoles_games",167097.73000000019,"89.85","B (Medium impact)"
"construcao_ferramentas_construcao",162382.01000000007,"90.90","B (Medium impact)"
"eletrodomesticos_2",118208.52000000002,"91.67","B (Medium impact)"
"casa_construcao",95022.37000000002,"92.28","B (Medium impact)"
"eletrodomesticos",93301.78,"92.89","B (Medium impact)"
"moveis_sala",85045.07000000005,"93.44","B (Medium impact)"
"agro_industria_e_comercio",76203.30000000003,"93.93","B (Medium impact)"
"casa_conforto",66438.21999999996,"94.36","B (Medium impact)"
"climatizacao",59854.549999999974,"94.75","B (Medium impact)"
"telefonia_fixa",59816.53999999998,"95.14","C (Low impact)"
"moveis_cozinha_area_de_servico_jantar_e_jardim",57072.96999999997,"95.51","C (Low impact)"
"audio",56255.31999999999,"95.87","C (Low impact)"
"livros_interesse_geral",54182.54000000002,"96.23","C (Low impact)"
"portateis_casa_forno_e_cafe",49245.900000000016,"96.55","C (Low impact)"
"construcao_ferramentas_iluminacao",47447.14,"96.85","C (Low impact)"
"industria_comercio_e_negocios",46079.33999999997,"97.15","C (Low impact)"
"construcao_ferramentas_seguranca",42504.01999999999,"97.43","C (Low impact)"
"alimentos",35794.68,"97.66","C (Low impact)"
"market_place",33114.38000000002,"97.87","C (Low impact)"
"construcao_ferramentas_jardim",30283.94000000001,"98.07","C (Low impact)"
"fashion_calcados",27814.83000000001,"98.25","C (Low impact)"
"sinalizacao_e_seguranca",27792.59,"98.43","C (Low impact)"
"artes",27485.53,"98.61","C (Low impact)"
"bebidas",26971.11000000004,"98.78","C (Low impact)"
"moveis_quarto",23379.220000000005,"98.94","C (Low impact)"
"livros_tecnicos",22901.07,"99.08","C (Low impact)"
"alimentos_bebidas",19337.770000000008,"99.21","C (Low impact)"
"construcao_ferramentas_ferramentas",17934.170000000002,"99.33","C (Low impact)"
"fashion_roupa_masculina",12514.95,"99.41","C (Low impact)"
"artigos_de_natal",11928.750000000004,"99.48","C (Low impact)"
"fashion_underwear_e_moda_praia",11160.020000000004,"99.56","C (Low impact)"
"tablets_impressao_imagem",8754.61,"99.61","C (Low impact)"
"cine_foto",7902.18,"99.67","C (Low impact)"
"musica",6724.860000000001,"99.71","C (Low impact)"
"moveis_colchao_e_estofado",5904.75,"99.75","C (Low impact)"
"dvds_blu_ray",5769.840000000001,"99.78","C (Low impact)"
"artigos_de_festas",5285.380000000001,"99.82","C (Low impact)"
"livros_importados",5150.9400000000005,"99.85","C (Low impact)"
"portateis_cozinha_e_preparadores_de_alimentos",4228.05,"99.88","C (Low impact)"
"fashion_roupa_feminina",3218.4400000000005,"99.90","C (Low impact)"
"fashion_esporte",2657.5499999999997,"99.92","C (Low impact)"
"la_cuisine",2388.5400000000004,"99.93","C (Low impact)"
"artes_e_artesanato",2184.14,"99.95","C (Low impact)"
"fraldas_higiene",2046.19,"99.96","C (Low impact)"
"flores",1598.9099999999999,"99.97","C (Low impact)"
"pc_gamer",1430.1,"99.98","C (Low impact)"
"casa_conforto_2",1170.5800000000002,"99.99","C (Low impact)"
"cds_dvds_musicais",954.9900000000001,"99.99","C (Low impact)"
"fashion_roupa_infanto_juvenil",598.6700000000001,"100.00","C (Low impact)"
"seguros_e_servicos",324.51,"100.00","C (Low impact)"
